,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
121,0 days 02:01:15.257000,26.8,45.0,1008.4,False,30.7,2,1.8
123,0 days 02:03:15.261000,26.8,45.0,1008.4,False,30.5,34,2.5
124,0 days 02:04:15.256000,26.8,46.0,1008.4,False,30.6,37,1.9
126,0 days 02:06:15.263000,26.7,46.0,1008.4,False,30.6,22,1.6
128,0 days 02:08:15.277000,26.7,46.0,1008.4,False,30.6,17,1.8
129,0 days 02:09:15.300000,26.7,46.0,1008.4,False,30.6,18,2.3
131,0 days 02:11:15.316000,26.8,46.0,1008.4,False,30.5,35,2.0
132,0 days 02:12:15.323000,26.8,45.0,1008.4,False,30.6,42,2.3
134,0 days 02:14:15.309000,26.8,45.0,1008.4,False,30.5,33,1.8
136,0 days 02:16:15.345000,26.8,45.0,1008.4,False,30.7,49,1.7
137,0 days 02:17:15.349000,26.8,45.0,1008.4,False,30.4,53,1.8
139,0 days 02:19:15.335000,26.8,45.0,1008.4,False,30.5,58,1.5
141,0 days 02:21:15.348000,26.9,44.0,1008.4,False,30.4,32,2.2
142,0 days 02:22:15.332000,26.9,44.0,1008.4,False,30.4,8,1.8
144,0 days 02:24:15.352000,26.9,44.0,1008.4,False,30.2,353,1.8
146,0 days 02:26:15.351000,26.9,44.0,1008.4,False,30.5,33,1.9
147,0 days 02:27:15.352000,26.9,44.0,1008.4,False,30.3,54,1.6
149,0 days 02:29:15.346000,26.9,43.0,1008.5,False,30.3,57,1.8
150,0 days 02:30:15.357000,26.9,43.0,1008.4,False,30.4,44,1.4
56,0 days 00:56:14.914000,27.2,44.0,1008.0,False,31.9,37,3.6
58,0 days 00:58:14.913000,27.1,45.0,1008.0,False,31.9,30,2.7
